name,category,price,measure,madori,hikiwatashi,kanseijiki,floor,building,adress,nearest_line,nearest_station,walk_time,url,latitude,longitude
ペナテス玉川 4099万円（3LDK）,中古マンション,4099,67.39,3LDK,即引渡可,1975年4月,3.0,RC5階建,東京都世田谷区中町２,東急大井町線,等々力,8,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_70062454/,35.6113676,139.6445716
上町マンション 4150万円（2LDK）,中古マンション,4150,50.76,2LDK,2023年2月,1969年9月,7.0,RC12階建,東京都世田谷区世田谷３-11-8,東急世田谷線,上町,2,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_71084007/,35.6443386,139.6474809
コープ野村用賀 4180万円（2LDK）,中古マンション,4180,55.38,2LDK,即引渡可,1984年9月,3.0,RC4階建,東京都世田谷区用賀１,東急田園都市線,用賀,8,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_70799781/,35.6230837,139.6394707
秀和上野毛レジデンス 4180万円（2LDK）,中古マンション,4180,43.55,2LDK,即引渡可,1975年2月,5.0,RC7階建,東京都世田谷区上野毛３,東急大井町線,上野毛,4,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_71483820/,35.6123661,139.6356453
マンション第一明大前 4199万円（2LDK）,中古マンション,4199,55.22,2LDK,相談,1973年12月,4.0,SRC13階建,東京都世田谷区松原２-42－12,京王線,明大前,2,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_70883583/,35.6693123,139.6491548
セザール豪徳寺 4250万円（3LDK）,中古マンション,4250,51.88,3LDK,相談,1994年5月,3.0,RC4階建,東京都世田谷区宮坂１,東急世田谷線,宮の坂,3,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_71371583/,35.648516,139.6413835
シャンピア北沢 4280万円（2LDK）,中古マンション,4280,49.69,2LDK,相談,1974年8月,10.0,SRC11階建,東京都世田谷区上北沢４-18-15,京王線,上北沢,3,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_71718245/,35.6704535,139.6227565
ライオンズマンション三軒茶屋ＮＡＫＡＭＵＲＡ 4280万円（1LDK）,中古マンション,4280,43.55,1LDK,相談,1983年3月,6.0,SRC10階建,東京都世田谷区三軒茶屋２,東急田園都市線,三軒茶屋,6,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_98219366/,35.6413753,139.6649795
ニュー奥沢ハイツ 2880万円（2DK）,中古マンション,2880,44.05,2DK,即引渡可,1972年9月,5.0,RC7階建,東京都世田谷区奥沢１,東急目黒線,奥沢,11,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_70600697/,35.60091600000001,139.6771
砧スカイハイツ 4290万円（2LDK）,中古マンション,4290,66.0,2LDK,即引渡可,1975年7月,8.0,SRC9階建,東京都世田谷区砧１,小田急線,千歳船橋,18,https://suumo.jp/ms/chuko/tokyo/sc_setagaya/nc_71722688/,35.6369827,139.6184342
