区分,名称,都道府県,市区群,住所,0歳定員,1歳定員,2歳定員,3歳定員,4歳定員,5歳定員,定員,受入年齢,対象年齢,開所時間,閉所時間,延長保育時間（開始）,延長保育時間（終了）,latitude,longitude,latlng,nearlest_station,walk_time
認可外保育施設,にこりんこルーム,東京都,世田谷区（69.9％）,東京都世田谷区砧4-20-21,,,,,,,10,,,7:30:00,20:00:00,,,35.6404502,139.6150982,"35.6404502,139.6150982",祖師ヶ谷大蔵,12
認可外保育施設,MYSIGT,東京都,世田谷区（69.9％）,東京都世田谷区若林5-4-12,,,,,,,3,,,8:00:00,8:00:00,,,35.6474629,139.660126,"35.6474629,139.660126",若林（東京都）,4
認可外保育施設,HOPPA世田谷経堂,東京都,世田谷区（69.9％）,東京都世田谷区経堂5-38-23 ダイアカラービル4階,,,,,,,70,,,7:30:00,20:00:00,,,35.6491679,139.6309835,"35.6491679,139.6309835",千歳船橋,10
認可外保育施設,託児所 flower blooms,東京都,世田谷区（69.9％）,東京都世田谷区砧4-1-11 リノアビル砧102,,,,,,,15,,,7:00:00,22:00:00,,,35.63852,139.6141677,"35.63852,139.6141677",祖師ヶ谷大蔵,12
認可外保育施設,ウィズダムアカデミー 成城祖師ヶ谷大蔵校,東京都,世田谷区（69.9％）,東京都世田谷区砧6-40-4,,,,,,,40,,,13:00:00,22:00:00,,,35.6433693,139.6111163,"35.6433693,139.6111163",祖師ヶ谷大蔵,5
認可外保育施設,サニーデイスマイリングプラスレインボー,東京都,世田谷区（69.9％）,東京都世田谷区奥沢5-24-17-102,,,,,,,5,,,7:00:00,21:00:00,,,35.6067329,139.6709358,"35.6067329,139.6709358",自由が丘（東京都）,6
認可外保育施設,アンファン ミニョン 保育園,東京都,世田谷区（69.9％）,東京都世田谷区新町1-7-11,,,,,,,20,,,7:30:00,20:30:00,,,35.6294461,139.6517653,"35.6294461,139.6517653",桜新町,14
認可外保育施設,Lovant PRESCHOOL,東京都,世田谷区（69.9％）,東京都世田谷区大原1-62-5,,,,,,,25,,,7:00:00,20:00:00,,,35.6721269,139.6610927,"35.6721269,139.6610927",代田橋,6
認可外保育施設,ネスインターナショナルスクール 世田谷駒沢校,東京都,世田谷区（69.9％）,東京都世田谷区上馬4-5-6 ネスグローバルビル1階,,,,,,,42,,,8:00:00,19:00:00,,,35.6339419,139.6608933,"35.6339419,139.6608933",駒沢大学,4
認可外保育施設,みにょん♪みにょんぬ♪,東京都,世田谷区（69.9％）,東京都世田谷区三宿1-1-11,,,,,,,5,,,6:00:00,21:00:00,,,35.6476712,139.6770502,"35.6476712,139.6770502",三軒茶屋,11
認可外保育施設,さくらキッズくりにっく内 病児保育室さくらんぼ,東京都,世田谷区（69.9％）,東京都世田谷区桜新町2-10-4 ミケアビル2階,,,,,,,6,,,8:45:00,18:00:00,,,35.6316299,139.6433362,"35.6316299,139.6433362",桜新町,3
認可外保育施設,なごみ日和 託児ルーム,東京都,世田谷区（69.9％）,東京都世田谷区等々力5-6-15 タウンハウス小池A-1号室,,,,,,,3,,,8:00:00,21:00:00,,,35.6077502,139.6544358,"35.6077502,139.6544358",尾山台,3
認可外保育施設,ウィズダムアカデミー 池尻三軒茶屋校,東京都,世田谷区（69.9％）,東京都世田谷区池尻2-23-11 東京食糧専門学校内,,,,,,,40,,,13:00:00,22:00:00,,,35.647499,139.6827367,"35.647499,139.6827367",池尻大橋,7
認可外保育施設,ウィズダムアカデミー 駒沢桜新町校,東京都,世田谷区（69.9％）,東京都世田谷区駒沢2-18-9 コン・フォレスト3階,,,,,,,40,,,13:00:00,22:00:00,,,35.6318075,139.6561824,"35.6318075,139.6561824",駒沢大学,10
認可外保育施設,ウィズダムアカデミー 二子玉川校,東京都,世田谷区（69.9％）,東京都世田谷区玉川4-11-2 あっぷるハウス2階,,,,,,,40,,,13:00:00,22:00:00,,,35.616901,139.625431,"35.616901,139.625431",二子玉川,11
認可外保育施設,一時預かり保育ひよこルーム,東京都,世田谷区（69.9％）,東京都世田谷区用賀2-33-17,,,,,,,8,,,9:00:00,17:00:00,,,35.6258544,139.6349082,"35.6258544,139.6349082",用賀,3
認可外保育施設,ウィズダムアカデミー　Prime 世田谷深沢校,東京都,世田谷区（69.9％）,東京都世田谷区深沢7-4-1 ヒューリック深沢B1,,,,,,,40,,,13:00:00,22:00:00,,,35.6242665,139.6476564,"35.6242665,139.6476564",桜新町,15
